,id,calculated_group
0,1273864,pos_st
1,1347615,pos_st
2,1431584,horizontal
3,1349667,pos_fl
4,1478696,horizontal
5,1388585,horizontal
6,1312814,horizontal
7,1507381,horizontal
8,1292349,pos_fl
9,1513535,pos_st
10,1415235,horizontal
11,1409095,neg_fl
12,1259594,horizontal
13,1300555,pos_n
14,1314898,horizontal
15,1423445,horizontal
16,1378390,horizontal
17,1353816,horizontal
18,1278042,neg_fl
19,1263709,horizontal
20,1470568,pos_st
21,1390700,horizontal
22,1501299,horizontal
23,1511541,pos_st
24,1386614,pos_st
25,1314938,pos_st
26,1407099,pos_fl
27,1325180,pos_st
28,1392767,horizontal
29,1345666,pos_st
30,1390729,horizontal
31,1511564,horizontal
32,1544333,neg_st
33,1310862,pos_n
34,1542289,horizontal
35,1441938,pos_n
36,1265811,horizontal
37,1294483,horizontal
38,1357976,horizontal
39,1487000,neg_st
40,1392797,pos_n
41,1534118,horizontal
42,1431722,horizontal
43,1444017,horizontal
44,1335474,horizontal
45,1255607,horizontal
46,1398975,horizontal
47,1310921,horizontal
48,1335498,horizontal
49,1263820,pos_n
50,1376471,horizontal
51,1298652,horizontal
52,1470685,pos_st
53,1331423,pos_st
54,1380577,horizontal
55,1274083,horizontal
56,1392872,horizontal
57,1439983,horizontal
58,1384688,horizontal
59,1280241,horizontal
60,1366257,pos_n
61,1534191,horizontal
62,1431796,horizontal
63,1276150,horizontal
64,1315065,neg_fl
65,1444089,horizontal
66,1538303,horizontal
67,1302786,pos_n
68,1528072,horizontal
69,1394957,horizontal
70,1487123,horizontal
71,1497367,horizontal
72,1427741,pos_n
73,1313060,horizontal
74,1356074,neg_st
75,1519927,horizontal
76,1405245,neg_st
77,1274175,horizontal
78,1386815,horizontal
79,1542470,horizontal
80,1259851,horizontal
81,1352018,pos_n
82,1401175,pos_st
83,1401186,neg_fl
84,1464685,horizontal
85,1417583,pos_fl
86,1534319,horizontal
87,1376625,horizontal
88,1446269,horizontal
89,1264003,pos_n
90,1325447,horizontal
91,1339783,horizontal
92,1255817,horizontal
93,1540496,horizontal
94,1415569,pos_n
95,1294739,horizontal
96,1413527,horizontal
97,1286552,horizontal
98,1505701,neg_st
99,1311142,pos_fl
100,1438118,horizontal
101,1378734,pos_fl
102,1284528,pos_st
103,1309107,horizontal
104,1270198,pos_n
105,1374649,pos_st
106,1313214,neg_st
107,1518028,horizontal
108,1419726,neg_st
109,1339859,horizontal
110,1286612,neg_fl
111,1335773,pos_n
112,1540577,horizontal
113,1432034,pos_n
114,1509859,horizontal
115,1276389,pos_n
116,1532393,horizontal
117,1339883,horizontal
118,1288684,neg_st
119,1255917,neg_fl
120,1260019,pos_n
121,1276405,horizontal
122,1303029,horizontal
123,1399290,neg_st
124,1374733,pos_n
125,1485332,horizontal
126,1311257,horizontal
127,1438235,horizontal
128,1348124,horizontal
129,1526301,horizontal
130,1303073,horizontal
131,1421862,horizontal
132,1325623,horizontal
133,1350201,pos_n
134,1417786,pos_fl
135,1423930,pos_n
136,1333820,horizontal
137,1483337,pos_n
138,1540687,horizontal
139,1335891,horizontal
140,1362524,pos_n
141,1296993,horizontal
142,1407590,horizontal
143,1290861,neg_fl
144,1319544,horizontal
145,1342072,horizontal
146,1372795,horizontal
147,1284733,horizontal
148,1321597,pos_fl
149,1278600,horizontal
150,1360520,horizontal
151,1411721,horizontal
152,1327755,horizontal
153,1456780,pos_st
154,1274518,horizontal
155,1407649,horizontal
156,1295011,horizontal
157,1403559,pos_fl
158,1315502,horizontal
159,1403566,horizontal
160,1450674,pos_st
161,1479349,horizontal
162,1290935,horizontal
163,1374903,horizontal
164,1374907,horizontal
165,1510075,horizontal
166,1409725,pos_n
167,1538750,horizontal
168,1264322,horizontal
169,1489602,horizontal
170,1387207,horizontal
171,1391303,pos_fl
172,1460938,horizontal
173,1485522,horizontal
174,1333972,horizontal
175,1520341,horizontal
176,1465054,horizontal
177,1293035,horizontal
178,1538797,pos_st
179,1444593,horizontal
180,1514226,horizontal
181,1334006,neg_fl
182,1344253,horizontal
183,1299199,pos_fl
184,1409793,pos_n
185,1434372,pos_st
186,1291015,neg_fl
187,1331975,horizontal
188,1276685,horizontal
189,1280785,horizontal
190,1303317,horizontal
191,1436438,pos_n
192,1264408,horizontal
193,1452832,horizontal
194,1262372,horizontal
195,1370916,horizontal
196,1422117,horizontal
197,1381160,pos_n
198,1422130,horizontal
199,1334067,pos_n
200,1465141,pos_n
201,1340214,neg_st
202,1291075,horizontal
203,1358672,horizontal
204,1321809,pos_n
205,1422182,pos_fl
206,1444710,horizontal
207,1530727,horizontal
208,1532783,horizontal
209,1256308,neg_fl
210,1282941,horizontal
211,1330049,horizontal
212,1389442,horizontal
213,1457026,horizontal
214,1497994,horizontal
215,1399697,pos_n
216,1393554,horizontal
217,1319827,horizontal
218,1358754,pos_st
219,1289125,horizontal
220,1366951,horizontal
221,1297331,neg_fl
222,1471418,horizontal
223,1285051,horizontal
224,1317822,pos_st
225,1256392,horizontal
226,1424335,horizontal
227,1541078,horizontal
228,1446873,horizontal
229,1274843,pos_fl
230,1549286,horizontal
231,1424367,pos_n
232,1285117,neg_fl
233,1401863,pos_fl
234,1432592,horizontal
235,1412114,horizontal
236,1489941,horizontal
237,1528854,horizontal
238,1389594,horizontal
239,1424413,pos_n
240,1258526,horizontal
241,1444894,pos_n
242,1528864,horizontal
243,1283105,pos_st
244,1539101,horizontal
245,1358899,pos_st
246,1528884,horizontal
247,1475638,pos_st
248,1440825,pos_n
249,1369146,pos_st
250,1502267,horizontal
251,1338429,horizontal
252,1387585,pos_fl
253,1285203,horizontal
254,1272918,pos_fl
255,1311832,horizontal
256,1387609,horizontal
257,1389658,neg_st
258,1461346,neg_st
259,1356921,horizontal
260,1358971,pos_st
261,1326211,horizontal
262,1463430,neg_fl
263,1277082,horizontal
264,1432731,horizontal
265,1453211,horizontal
266,1508506,pos_st
267,1283238,horizontal
268,1379496,horizontal
269,1309873,pos_fl
270,1332401,horizontal
271,1402034,pos_n
272,1340596,horizontal
273,1481908,horizontal
274,1529018,horizontal
275,1354940,pos_st
276,1500359,pos_n
277,1479880,horizontal
278,1316044,pos_fl
279,1291470,horizontal
280,1326287,horizontal
281,1457364,horizontal
282,1291480,horizontal
283,1291492,horizontal
284,1404139,pos_fl
285,1342700,neg_st
286,1432811,pos_n
287,1539307,horizontal
288,1369338,pos_n
289,1434874,neg_fl
290,1449213,horizontal
291,1449214,pos_fl
292,1357058,horizontal
293,1367304,neg_fl
294,1377547,horizontal
295,1365260,horizontal
296,1520913,horizontal
297,1334546,pos_n
298,1322259,horizontal
299,1477908,pos_st
300,1469719,pos_st
301,1277208,horizontal
302,1320216,pos_fl
303,1436952,neg_fl
304,1510686,horizontal
305,1451298,horizontal
306,1348906,pos_n
307,1291563,pos_n
308,1432878,horizontal
309,1484078,pos_st
310,1363263,horizontal
311,1506626,horizontal
312,1549640,horizontal
313,1453387,pos_n
314,1373518,pos_st
315,1477978,pos_n
316,1267039,horizontal
317,1537378,horizontal
318,1387882,pos_fl
319,1441132,horizontal
320,1320303,horizontal
321,1521017,horizontal
322,1283451,horizontal
323,1293696,pos_fl
324,1453440,horizontal
325,1357192,horizontal
326,1346970,horizontal
327,1285531,pos_n
328,1469851,pos_n
329,1336733,horizontal
330,1279391,neg_fl
331,1373601,horizontal
332,1435046,horizontal
333,1346990,horizontal
334,1281466,pos_fl
335,1275324,horizontal
336,1547708,horizontal
337,1320387,horizontal
338,1394123,horizontal
339,1381836,horizontal
340,1314253,pos_st
341,1547728,horizontal
342,1531347,horizontal
343,1320414,horizontal
344,1433055,pos_n
345,1529318,neg_st
346,1390055,pos_st
347,1508841,neg_st
348,1277420,horizontal
349,1449467,pos_n
350,1547774,horizontal
351,1334784,horizontal
352,1547784,horizontal
353,1328649,pos_fl
354,1420819,horizontal
355,1383960,horizontal
356,1318425,neg_fl
357,1439265,horizontal
358,1277477,horizontal
359,1437227,pos_fl
360,1498677,horizontal
361,1287736,pos_n
362,1386041,horizontal
363,1531458,horizontal
364,1517128,horizontal
365,1482313,horizontal
366,1384012,neg_fl
367,1373775,horizontal
368,1392215,horizontal
369,1476186,neg_st
370,1465947,pos_st
371,1381980,horizontal
372,1281630,pos_st
373,1480286,horizontal
374,1261153,pos_st
375,1265250,horizontal
376,1300080,neg_st
377,1304182,horizontal
378,1488502,neg_fl
379,1527415,horizontal
380,1271423,horizontal
381,1257087,pos_n
382,1498759,pos_st
383,1408648,pos_n
384,1476233,horizontal
385,1257098,horizontal
386,1511049,horizontal
387,1394320,horizontal
388,1472149,horizontal
389,1355415,horizontal
390,1371801,horizontal
391,1478302,horizontal
392,1332896,horizontal
393,1476256,horizontal
394,1478312,horizontal
395,1527466,horizontal
396,1283760,horizontal
397,1291964,horizontal
398,1470148,pos_n
399,1449674,horizontal
400,1300171,pos_n
401,1464014,pos_n
402,1283791,pos_n
403,1291987,pos_st
404,1425110,horizontal
405,1539799,horizontal
406,1447642,horizontal
407,1431259,horizontal
408,1291998,pos_n
409,1388262,pos_n
410,1390312,pos_st
411,1423098,neg_fl
412,1423100,horizontal
413,1363711,horizontal
414,1275657,horizontal
415,1273630,neg_st
416,1443614,horizontal
417,1357600,horizontal
418,1388329,horizontal
419,1281841,pos_fl
420,1296189,horizontal
421,1369926,neg_st
422,1322823,horizontal
423,1275723,pos_fl
424,1455948,pos_n
425,1288014,horizontal
426,1435472,horizontal
427,1470291,pos_fl
428,1515353,horizontal
429,1275739,horizontal
430,1427297,horizontal
431,1490785,pos_n
432,1269611,horizontal
433,1482606,horizontal
434,1462142,horizontal
435,1308553,pos_n
436,1361804,horizontal
437,1283983,horizontal
438,1302420,horizontal
439,1460117,horizontal
440,1546150,horizontal
441,1343404,horizontal
442,1372083,horizontal
443,1288123,pos_n
444,1421254,pos_n
445,1355720,horizontal
446,1478603,horizontal
447,1310668,horizontal
448,1396689,horizontal
449,1441747,pos_n
450,1349593,pos_fl
451,1517530,horizontal
452,1331166,pos_st
453,1519586,horizontal
454,1286117,neg_fl
455,1255402,horizontal
456,1351670,horizontal
457,1529846,horizontal
458,1531898,horizontal
459,1427451,horizontal
460,1302526,horizontal
461,1398783,pos_fl
